Fish ID	Collection Date	Year	Location	Period	TL (mm)	Otolith D (um)	Peak Number	peak time 	"peak quality (excellent, good, poor, terrible, unusable)"	3core	Mg	Mn	Fe	Cu	Sr	Cd	Ba	Sn	Pb	U
NCPD 001	2/8/89	1989	NC	Early	16	177	2	0.68	excellent		0.040209638	0.007315036	0.000016846	0.000326691	3.437579925	0.000003995	0.007210578	0.000396760	0.000000428	0.000001283
NCPD 015	3/16/89	1989	NC	Early	16	218	2	0.77	excellent		0.059346743	0.024818023	0.002905206	0.000396409	2.918830940	0.000004380	0.005505555	0.000247082	0.000000000	0.000000247
NCPD 013	3/16/89	1989	NC	Early	17	173	2	0.69	good		0.019200128	0.006972829	0.000124097	0.000596019	3.459844634	0.000003640	0.006969374	0.000274740	0.000000000	0.000000000
NCPD 014	3/16/89	1989	NC	Early	17	137	1	0.77	excellent		0.053534889	0.023240271	0.000412377	0.000492820	3.208885055	0.000000000	0.005557814	0.000319354	0.000000260	0.000000000
NCPD 018	3/23/89	1989	NC	Early	16	115	1	0.69	excellent		0.014983446	0.019614098	0.000018183	0.000281933	2.830819120	0.000003272	0.003922079	0.000321487	0.000000000	0.000000000
NCPD 019	3/29/89	1989	NC	Early	15	170	1	0.33	excellent		0.014655972	0.014812887	0.000474344	0.000308274	2.867390120	0.000003268	0.005173332	0.000306129	0.000000000	0.000000000
NCPD 023	2/6/91	1991	NC	Early	17	219	2	0.65	excellent		0.041800734	0.022113341	0.000094106	0.007550828	3.229164032	0.000005709	0.006593161	0.000277345	0.000000000	0.000000268
NCPD 025	2/13/91	1991	NC	Early	16	170	1	0.81	excellent		0.004542199	0.015410143	0.000146887	0.000433052	2.783192288	0.000000000	0.004722777	0.000197611	0.000000000	0.000000000
NCPD 027	2/27/91	1991	NC	Early	16	184	2	0.86	excellent		0.017699359	0.029373838	0.000146821	0.000322814	3.541350711	0.000001509	0.010089741	0.000310507	0.000000000	0.000000000
NCPD 026	2/27/91	1991	NC	Early	17	200	2	0.89	excellent		0.017346203	0.028438711	0.000296759	0.000120231	3.039568003	0.000007547	0.007140447	0.000269394	0.000000000	0.000000646
NCPD 029	3/6/91	1991	NC	Early	15	218	2	0.85	good		0.005055713	0.014503893	0.000142155	0.000239895	3.228688904	0.000004505	0.006217363	0.000298382	0.000000000	0.000000000
NCPD 028	3/6/91	1991	NC	Early	16	212	2	0.73	good		0.005452872	0.005081818	0.000076445	0.000255709	3.306457349	0.000006708	0.005667956	0.000302034	0.000000324	0.000000000
NCPD 030	3/21/91	1991	NC	Early	16	235	2	0.77	good		0.013708783	0.018289377	0.000059711	0.000268176	3.109455400	0.000000473	0.006041725	0.000283343	0.000000567	0.000000000
NCPD 156	3/21/91	1991	NC	Early	16	171	1	0.47	excellent		0.002641904	0.020468368	0.000134771	0.000262213	3.336666163	0.000004890	0.004325432	0.000377013	0.000000000	0.000000000
NCPD 031	3/21/91	1991	NC	Early	17	185	2	0.77	excellent		0.010583132	0.028578073	0.000098712	0.000350913	2.956605787	0.000093771	0.006781783	0.000246906	0.000000000	0.000000264
NCPD 046	3/11/92	1992	NC	Early	15	227	2	0.72	excellent		0.012578474	0.024594521	0.000131014	0.000083720	3.880743367	0.000003589	0.011646504	0.000463941	0.000000000	0.000000510
NCPD 045	3/11/92	1992	NC	Early	16	199	1	0.73	excellent		0.032299729	0.042493482	0.001317522	0.000000000	3.828272017	0.000004184	0.011345723	0.000488013	0.000000000	0.000000000
NCPD 051	2/11/98	1998	NC	Mid	16	147	1	0.45	excellent		0.001816800	0.045237109	0.000038609	0.000283636	3.694408204	0.000000967	0.006209583	0.000507234	0.000000000	0.000000000
NCPD 054	2/11/98	1998	NC	Mid	16	167	1	0.51	excellent		0.003065698	0.032342105	0.000028425	0.000000000	2.956899945	0.000000764	0.004852426	0.000425863	0.000000327	0.000000000
NCPD 056	2/17/98	1998	NC	Mid	16	155	1	0.64	excellent		0.003278947	0.052372647	0.000022098	0.000218127	3.580527832	0.000000813	0.006855579	0.000439775	0.000000000	0.000000405
NCPD 059	2/17/98	1998	NC	Mid	16	162	1	0.36	excellent		0.005577029	0.033380021	0.000047571	0.000544584	3.786416605	0.000005879	0.001994733	0.000429832	0.000000598	0.000000000
NCPD 055	2/17/98	1998	NC	Mid	17	175	2	0.78	excellent		0.003937270	0.054505993	0.000075330	0.000198274	3.207492465	0.000000000	0.005786366	0.000400851	0.000000427	0.000000000
NCPD 058	2/17/98	1998	NC	Mid	17	182	1	0.69	excellent		0.002546214	0.012981956	0.000014946	0.000000000	3.428300739	0.000011593	0.008032980	0.000472738	0.000000000	0.000000000
NCPD 064	3/3/98	1998	NC	Mid	16	141	1	0.55	good		0.006903490	0.007434214	0.000091054	0.000511838	4.377563887	0.000001333	0.006668522	0.000465005	0.000000000	0.000000000
NCPD 062	3/3/98	1998	NC	Mid	18	199	1	0.62	excellent		0.028785024	0.016375963	0.000138831	0.000066332	3.712743383	0.000001357	0.006859044	0.000489437	0.000000000	0.000000407
NCPD 066	3/3/98	1998	NC	Mid	18	169	1	0.71	good		0.002808751	0.016062197	0.000116639	0.000000000	3.199641733	0.000000000	0.003337394	0.000483670	0.000000000	0.000000000
NCPD 071	3/16/99	1999	NC	Mid	17	207	2	0.81	good		0.016558899	0.005297754	0.000001597	0.000000000	3.029320399	0.000000000	0.005940296	0.000559821	0.000000373	0.000000000
NCPD 074	2/22/00	2000	NC	Mid	17	84	1	0.64	excellent		0.005108720	0.012335753	0.000133634	0.054206742	2.768313313	0.000237985	0.004828274	0.000460118	0.000014554	0.000000000
NCPD 072	2/22/00	2000	NC	Mid	18	182	2	0.76	good		0.007983744	0.007165555	0.000018981	0.000261945	2.843198550	0.000003244	0.005345419	0.000518468	0.000000000	0.000000295
NCPD 073	2/22/00	2000	NC	Mid	18	202	2	0.78	excellent		0.004853567	0.024921214	0.000030295	0.000238299	3.614750465	0.000000142	0.006827039	0.000594413	0.000000000	0.000000000
NCPD 157	2/29/00	2000	NC	Mid	15	178	1	0.70	excellent		0.011854925	0.008779628	0.000117026	0.000302585	3.595784559	0.000003707	0.006355335	0.000387694	0.000000000	0.000000000
NCPD 085	3/8/01	2001	NC	Mid	15	138	1	0.31	excellent		0.003240389	0.013930639	0.000035700	0.000206322	3.234027066	0.000006104	0.004543103	0.000391704	0.000000097	0.000000000
NCPD 086	3/8/01	2001	NC	Mid	15	155	1	0.71	excellent		0.002529842	0.024027829	0.000062783	0.000111458	3.212573505	0.000001053	0.007933591	0.000402862	0.000000000	0.000000632
NCPD 081	3/8/01	2001	NC	Mid	16	171	2	0.80	excellent		0.024057024	0.028270483	0.000072203	0.000233363	2.974858253	0.000000000	0.005840862	0.000358214	0.000000360	0.000000000
NCPD 082	3/8/01	2001	NC	Mid	17	159	2	0.81	excellent		0.004947997	0.007751368	0.000077175	0.000270860	3.094959428	0.000000587	0.007978553	0.000367980	0.000000000	0.000000000
NCPD 087	3/8/01	2001	NC	Mid	17	140	1	0.26	excellent		0.002724352	0.014486309	0.000140969	0.000494741	3.184659056	0.000002330	0.006324699	0.000460294	0.000000259	0.000000000
NCPD 088	3/8/01	2001	NC	Mid	17	172	1	0.73	excellent		0.004304956	0.024150840	0.000039867	0.000273540	2.584908124	0.000000004	0.005020555	0.000368311	0.000000359	0.000000000
NCPD 089	3/8/01	2001	NC	Mid	18	212	1	0.85	excellent		0.007995907	0.030137154	0.000134114	0.000362921	3.347976960	0.000000000	0.006352624	0.000447380	0.000000000	0.000000000
NCPD 090	3/14/01	2001	NC	Mid	16	190	1	0.67	excellent		0.002547524	0.042471212	0.000006726	0.000220262	2.869269673	0.000004245	0.004858088	0.000412599	0.000000821	0.000000000
NCPD 091	3/14/01	2001	NC	Mid	16	246	1	0.73	excellent		0.002578386	0.028920391	0.000024734	0.000138508	2.910256800	0.000005809	0.005179654	0.000367761	0.000000000	0.000000000
NCPD 093	3/14/01	2001	NC	Mid	17	182	1	0.31	excellent		0.002002176	0.014570975	0.000113456	0.000185043	2.915888742	0.000000000	0.007079852	0.000347363	0.000000000	0.000000291
NCPD 092	3/14/01	2001	NC	Mid	18	192	2	0.77	good		0.001759676	0.019194449	0.000008867	0.000113647	3.229999120	0.000001608	0.007652708	0.000381154	0.000000439	0.000000439
NCPD 103	2/27/08	2008	NC	Late	14	171	1	0.27	good		0.057666420	0.011024672	0.000021127	0.000356381	3.478697882	0.000009101	0.006076773	0.000401361	0.000000337	0.000000337
NCPD 106	2/27/08	2008	NC	Late	15	195	1	0.94	good		0.021814471	0.004766812	0.000046555	0.000059757	2.440897846	0.000010594	0.004463862	0.000426761	0.000000993	0.000000000
NCPD 111	3/5/08	2008	NC	Late	16	155	1	0.30	good		0.002305329	0.016765625	0.000111997	0.000202370	2.999263072	0.000000000	0.005966559	0.000383239	0.000000248	0.000000248
NCPD 107	3/5/08	2008	NC	Late	17	154	1	0.79	good		0.005869633	0.011440051	0.000099486	0.000188267	2.808508016	0.000001250	0.003852499	0.000506598	0.000000682	0.000000000
NCPD 108	3/5/08	2008	NC	Late	17	172	2	0.71	good		0.001799995	0.015351258	0.000145825	0.000103889	3.411228346	0.000000000	0.007503093	0.000471812	0.000001224	0.000000000
NCPD 109	3/5/08	2008	NC	Late	17	203	1	0.77	excellent		0.003083451	0.025674785	0.000030753	0.000267419	3.459698877	0.000000000	0.007629382	0.000416001	0.000000493	0.000000000
NCPD 112	2/26/09	2009	NC	Late	16	168	1	0.73	excellent		0.015381009	0.026118059	0.000004203	0.000212396	3.402963477	0.000003612	0.006902125	0.000362064	0.000000350	0.000000000
NCPD 119	2/26/09	2009	NC	Late	16	159	1	0.69	excellent		0.001995254	0.028930257	0.000100300	0.000248071	3.415350416	0.000002945	0.005499170	0.000532918	0.000000353	0.000000353
NCPD 116	2/26/09	2009	NC	Late	17	209	1	0.28	good		0.002298344	0.012749369	0.000140981	0.000200678	2.651906555	0.000003476	0.003261097	0.000569990	0.000000509	0.000000000
NCPD 117	2/26/09	2009	NC	Late	17	200	1	0.20	good		0.003275190	0.007037974	0.000065587	0.000167046	3.084032799	0.000000000	0.005100002	0.000527452	0.000000257	0.000000257
NCPD 120	3/3/09	2009	NC	Late	17	188	1	0.30	good		0.010285136	0.006929016	0.000029071	0.000275466	3.190390908	0.000015460	0.006067149	0.000507293	0.000000000	0.000000313
NCPD 122	3/3/09	2009	NC	Late	17	195	2	0.76	good		0.026635262	0.004477433	0.000016460	0.000352355	3.281072068	0.000014093	0.006518954	0.000421502	0.000000000	0.000000320
